name,position_x,position_y,image1,image2,
hokkaido,-185,160,じゃがいも,,-180
aomori,285,220,りんご,,290
iwate,295,170,わかめ,,300
miyagi,265,110,笹かまぼこ,,270
akita,105,240,比内地鶏,,110
yamagata,155,220,さくらんぼ,,160
fukushima,265,60,桃,,270
ibaraki,285,0,納豆,,290
tochigi,235,10,かんぴょう,,240
gunma,140,160,こんにゃく,,145
saitama,225,-40,草加せんべい,,230
chiba,285,-60,落花生,,290
tokyo,235,-120,小松菜,,240
kanagawa,255,-180,かまぼこ,,260
niigata,95,190,米,,100
toyama,95,140,ホタルイカ,,100
ishikawa,85,90,かぶら寿司,,90
fukui,45,50,越前ガニ,,50
yamanashi,195,-90,ぶどう,,200
nagano,135,110,信州そば,,140
gifu,150,-90,アユ,,155
shizuoka,205,-230,茶,,210
aichi,205,-180,ういろう,,210
mie,145,-220,伊勢えび,,150
shiga,105,-100,フナ,,110
kyoto,25,5,京漬物,,30
osaka,85,-150,たこ焼き,,90
hyogo,-20,0,神戸ビーフ,,-15
nara,95,-200,柿の葉寿司,,100
wakayama,65,-260,梅干し,,70
tottori,-70,-10,梨,,-65
shimane,-115,-40,しじみ,,-110
okayama,25,-140,カキ,,30
hiroshima,-25,-150,お好み焼き,,-20
yamaguchi,-160,-70,フグ,,-155
tokushima,15,-240,すだち,,20
kagawa,25,-190,うどん,,30
ehime,-20,-200,みかん,,-15
kochi,-35,-255,カツオ,,-30
fukuoka,-205,-100,博多ラーメン,博多祇園山笠,-200
saga,-190,-160,小城羊羹,佐賀インターナショナルバルーンフェスタ,-185
nagasaki,-240,-170,カステラ,長崎ランタンフェスティバル,-235
kumamoto,-175,-210,辛子れんこん,藤崎宮秋季例大祭,-170
oita,-70,-180,サバ,大分七夕祭り,-65
miyazaki,-85,-240,日向夏,延岡大師祭り,-80
kagoshima,-135,-250,さつまあげ,おはら祭,-130
okinawa,165,-150,黒糖,エイサー祭り,170
